temp_c,ligand,cat_loading,time_s,dG_OA,dG_TM,G_OA_TS,G_TM_TS,dG_boron_hydrolysis,G_Substrate,G_boron_species,k_OA,k_TM,dG_PdLArOH,G_precatalyst
65,PPh3,2.5,60,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,2.5,150,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,2.5,300,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,2.5,600,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,2.5,900,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,5.0,60,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,5.0,150,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,5.0,300,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,5.0,600,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,5.0,900,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,AmPhos,0.5,60,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,0.5,150,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,0.5,300,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,0.5,600,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,0.5,900,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,1.25,60,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,1.25,150,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,1.25,300,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,1.25,600,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,1.25,900,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,2.5,60,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,2.5,150,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,2.5,300,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
65,AmPhos,2.5,600,7.760473346104845,5.876879281131551,-1448654.7100639,-1666736.252011119,0.0,-444181.7832208271,-459277.2946503733,67980668.4732043,1121351862.5124516,10.084754140116274,-1746035.369
