temperature_C,substrate,boron_species_BOH2,boron_species_BPin,ligand,case,dG_TM_react_8_kcal_mol,dG_TM_react_9_kcal_mol,dG_TM_reactant_10_kcal_mol,dG_TM_reactant_kcal_mol,dG_TM_TS_kcal_mol,dG_TM_product_kcal_mol,total_barrier_kcal_mol,standard_state
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case1,-13.204411829356104,,-12.801598830148578,-8.085577853489667,0.26380437007173896,-24.772744204849005,13.468216199427843,1bar
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case2,8.472574173938483,3.0139604904688895,-1.7506056423299015,15.182387443259358,14.876110734883696,-10.594604345969856,16.626716377213597,1bar
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,SPhos,case3,8.472574173938483,-3.4014862584881485,0.5259875929914415,-0.11257365485653281,8.995344241615385,-14.668633425608277,12.396830500103533,1bar
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,SPhos,case4,1.8288712007924914,-26.914531072601676,-11.548888491466641,-5.737392851151526,1.5698142829351127,-31.228071546182036,28.48434535553679,1bar
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case1,-2.561003987211734,-2.7205706976819783,-5.96765101980418,-1.7744571999646723,6.881079635582864,-16.881911281030625,12.848730655387044,1bar
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case2,-9.53157676779665,-3.6002040705643594,-8.063958041835576,-3.069790539331734,1.961123789427802,-17.245457116980106,11.492700557224452,1bar
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,tBu3,case3,-9.53157676779665,-7.730231375200674,-8.685907195322216,-3.601227259496227,4.546567032579333,-19.943803970701993,14.078143800375983,1bar
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,tBu3,case4,2.175246307393536,-9.565948345931247,-4.4569771508686244,-4.9134511686861515,-2.62371671712026,-31.090404709801078,6.942231628810987,1bar
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case1,-12.345623465720564,-17.956180354114622,-12.738129027187824,-0.11312719900161028,6.90133404545486,-14.47243527136743,24.85751439956948,1bar
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case2,-25.405960275325924,-19.875760714057833,-10.067710490431637,-7.275851033162326,-1.0030864593572915,-11.860040611121804,24.402873815968633,1bar
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,XPhos,case3,-25.405960275325924,-25.450017288327217,-15.423609554767609,-10.557054451666772,-1.8845005510374904,-14.95119832828641,23.565516737289727,1bar
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,XPhos,case4,-35.2543454291299,-37.550215255934745,-26.48666800605133,-26.15040129609406,-15.914633677341044,-42.20023997453973,21.6355815785937,1bar
70,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case1,-34.1092195766978,-25.21274911146611,-11.702655786182731,-8.531458347570151,-0.44439319521188736,-17.5203201090917,33.66482638148591,1bar
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case2,-19.063301674555987,-17.749368854798377,-9.676924022845924,-9.27756604226306,2.3452590289525688,-17.20919098239392,21.408560703508556,1bar
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PCy3,case3,-19.06330167502165,-26.80964677873999,-13.153777636121958,-11.110780754126608,0.7929739663377404,-20.214919589459896,27.60262074507773,1bar
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PCy3,case4,-34.21425275085494,-29.809934558346868,-16.754827964585274,-2.5626045274548233,-1.042245467659086,-29.963980827014893,33.17200728319585,1bar
70,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case1,-16.907000018283725,-26.09499768074602,-10.06721805781126,-9.200859296135604,-2.299354095943272,-15.315623773261905,23.795643584802747,1bar
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case2,-13.042157342191786,-22.973284535575658,-10.834410460665822,-8.935386124067008,-1.606817350257188,-15.580967306625098,21.36646718531847,1bar
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PPh3,case3,-13.042157342657447,-25.261873133014888,-12.221910058986396,-9.98378723114729,-1.003881951328367,-16.70824240334332,24.25799118168652,1bar
