temp_C,substrate,boron species (BOH2),boron species (BPin),ligand,case,dG_TM_react_8_kcal_mol,dG_TM_react_9_kcal_mol,dG_TM_reactant_10_kcal_mol,dG_TM_reactant_kcal_mol,dG_TM_TS_kcal_mol,dG_TM_product_kcal_mol,total_barrier_kcal_mol,standard_state
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,XPhos,case4,-37.3676744291299,-41.776873255934746,-28.599997006051332,-28.26373029609406,-18.027962677341044,-42.20023997453973,23.7489105785937,1M
70,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case1,-36.394292576697794,-29.78289511146611,-13.987728786182732,-10.816531347570152,-2.7294661952118875,-17.5203201090917,33.66482638148591,1M
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case2,-21.348374674555988,-22.319514854798378,-11.961997022845924,-11.562639042263061,0.06018602895256864,-17.20919098239392,22.379700883750946,1M
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PCy3,case3,-21.34837467502165,-31.37979277873999,-15.438850636121959,-13.395853754126609,-1.4920990336622597,-20.214919589459896,29.88769374507773,1M
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PCy3,case4,-36.499325750854936,-34.38008055834687,-19.039900964585275,-4.847677527454824,-3.327318467659086,-29.963980827014893,33.17200728319585,1M
70,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case1,-19.192073018283725,-30.66514368074602,-12.35229105781126,-11.485932296135605,-4.584427095943273,-15.315623773261905,26.080716584802747,1M
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case2,-15.327230342191786,-27.54343053557566,-13.119483460665823,-11.220459124067009,-3.891890350257188,-15.580967306625098,23.65154018531847,1M
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PPh3,case3,-15.327230342657447,-29.83201913301489,-14.506983058986396,-12.26886023114729,-3.288954951328367,-16.70824240334332,26.54306418168652,1M
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PPh3,case4,-18.376175041304112,-38.77209251465863,-16.42669379244852,-12.922753940330029,-7.814466443372101,-27.248491670936346,30.95762607128653,1M
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,AmPhos,case2,-18.82097960635382,-17.6284939590714,-8.841242477291406,-7.535613599226952,0.3722130917076467,-16.914121156558394,19.193192698061466,1M
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,AmPhos,case3,-18.82097960681948,-21.94497375002718,-12.283235528965623,-8.106996749987037,0.4725352050800322,-16.769743379205465,22.417508955107213,1M
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,AmPhos,case4,-20.61715593002099,-20.58777785625896,-13.575037536670596,-13.179802415420443,-7.697560165536732,-33.484306923579425,12.919595764484257,1M
70,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case1,-15.967095830471397,-18.395472164253057,-9.783743626431704,-9.146615102880777,-1.5086034303467275,-15.45574554335326,16.88686873390633,1M
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case2,-17.649536126286865,-13.058172859238745,-10.056251372204304,-6.417077278246314,-1.7901263460453154,-16.801059591118246,15.859409780241549,1M
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,Catacxium_A,case3,-17.649536126286865,-15.575858752230467,-14.200204969377399,-11.469046962441087,-1.5326806195016505,-18.13726766826585,16.116855506785214,1M
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,Catacxium_A,case4,-12.442910752252818,-25.97374050969845,-13.509502529160262,-9.884653461159349,-2.821287727908373,-33.17613044846803,23.15245278179008,1M
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,RuPhos,case2,-11.471689217717529,-18.501130646081926,-11.69312308634925,-13.666351272718192,0.6928731985453962,-21.375500692985952,19.19400384462732,1M
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,RuPhos,case3,-11.471689217717529,-19.499390133178146,-15.162722405505509,-12.411934585769803,0.35418695305180536,-29.77683641249314,19.85357708622995,1M
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,RuPhos,case4,0.9544323394138812,-25.149816026432724,-11.434858907007754,-10.515302887180031,4.44748609141153,-24.9243866330944,29.597302117844254,1M
70,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case1,-13.963710859411538,,-13.869548189913065,-9.149050033644915,-0.7752046701434554,-24.462096105329692,13.188506189268082,1M
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case2,7.620585493749797,0.9845266104803381,-2.8040988924849333,14.120092663454681,13.801203744492351,-10.301431336440146,16.605302636977285,1M
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,SPhos,case3,7.620585493749797,-5.4496611384547355,-0.6600200771290363,-1.2763101342070402,7.827241471509307,-14.4918027757667,13.276902609964043,1M
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,SPhos,case4,1.069337440661013,-28.776374722818197,-12.61083800158757,-6.747086941723854,0.5577990422089099,-30.90696689626202,29.334173765027106,1M
70,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case1,-3.4047886372945757,-4.832074107356653,-7.038662439904318,-2.828893669874549,5.791647845652744,-16.710876821307465,12.830310285557061,1M
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case2,-10.493877787602276,-5.54995819063513,-9.150610971956656,-4.183978579466373,0.8142131392442136,-17.066196036990732,11.30809092684649,1M
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,tBu3,case3,-10.493877787602276,-9.807978555081696,-9.831655545386628,-4.71301372884135,3.3610479426634012,-19.796132850460708,13.854925730265677,1M
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,tBu3,case4,1.2379654373571722,-11.63840260634786,-5.600588981055797,-6.044108828523338,-3.728993607212931,-30.866123049519956,7.909408999134929,1M
